date,Account,sentiment_category,daily_pnl,median_position_size,trade_count,win_rate,long_ratio,sentiment_value,estimated_volume,pnl_per_dollar,cluster,archetype,profit_binary,target_next_day_profit
2024-11-22,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,141.21958999999998,250.0,433,0.3117782909930716,0.48036951501154734,94.0,108250.0,0.0013045689607390299,2,The Gamblers,1,1.0
2024-11-23,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,673.6312,249.925,156,0.40384615384615385,0.48717948717948717,93.0,38988.3,0.017277778205256448,2,The Gamblers,1,1.0
2024-11-24,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,108.321127,89.85,69,0.42028985507246375,0.782608695652174,80.0,6199.65,0.017472135846378425,2,The Gamblers,1,1.0
2024-11-25,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,464.281002,99.29,225,0.4222222222222222,0.4711111111111111,82.0,22340.25,0.020782265283512943,2,The Gamblers,1,0.0
2024-11-26,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,-508.290641,499.72,217,0.35023041474654376,0.5852534562211982,79.0,108439.24,-0.0046873312741771336,2,The Gamblers,0,1.0
2024-11-27,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,193.66415899999998,254.47,169,0.4378698224852071,0.40828402366863903,75.0,43005.43,0.004503248985070024,2,The Gamblers,1,1.0
2024-11-28,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,165.532644,486.77,207,0.37681159420289856,0.5603864734299517,77.0,100761.39,0.001642818186608978,2,The Gamblers,1,1.0
2024-11-29,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,9551.73423,100.475,206,0.44660194174757284,0.4223300970873786,78.0,20697.85,0.4614843681831688,2,The Gamblers,1,1.0
2024-11-30,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,5590.528248,99.92,154,0.461038961038961,0.38961038961038963,84.0,15387.68,0.3633119643766961,2,The Gamblers,1,1.0
2024-12-01,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,4458.25495,92.45,193,0.5025906735751295,0.34196891191709844,81.0,17842.850000000002,0.2498622669584735,2,The Gamblers,1,1.0
2024-12-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,1283.846047,53.53,140,0.5214285714285715,0.5,80.0,7494.2,0.17131195417789757,2,The Gamblers,1,1.0
2024-12-03,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,1190.358719,60.83,78,0.47435897435897434,0.358974358974359,76.0,4744.74,0.25087965178281635,2,The Gamblers,1,1.0
2024-12-04,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,9066.169646,98.37,112,0.5357142857142857,0.26785714285714285,78.0,11017.44,0.8228925817612803,2,The Gamblers,1,1.0
2024-12-05,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,14685.787664,99.97999999999999,98,0.4897959183673469,0.336734693877551,84.0,9798.039999999999,1.498849531538961,2,The Gamblers,1,1.0
2024-12-06,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,389.176232,74.26,69,0.2318840579710145,0.391304347826087,72.0,5123.9400000000005,0.075952534963329,0,The Whales,1,1.0
2024-12-07,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,4008.012049,82.99,86,0.4186046511627907,0.23255813953488372,75.0,7137.139999999999,0.561571168423206,2,The Gamblers,1,1.0
2024-12-08,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,554.009942,49.88,102,0.4215686274509804,0.30392156862745096,79.0,5087.76,0.10889073816374986,2,The Gamblers,1,1.0
2024-12-09,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,768.430838,49.99,213,0.5915492957746479,0.7934272300469484,78.0,10647.87,0.07216756384140677,2,The Gamblers,1,1.0
2024-12-10,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,980.557461,54.97,157,0.6751592356687898,0.7452229299363057,78.0,8630.289999999999,0.11361813577527523,2,The Gamblers,1,1.0
2024-12-11,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,1582.001112,50.0,93,0.34408602150537637,0.17204301075268819,74.0,4650.0,0.3402152929032258,0,The Whales,1,1.0
2024-12-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,5806.86932,86.23,147,0.5578231292517006,0.19047619047619047,83.0,12675.810000000001,0.45810637111158964,2,The Gamblers,1,1.0
2024-12-13,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,1522.284412,52.96,155,0.45806451612903226,0.535483870967742,76.0,8208.8,0.18544542588441673,2,The Gamblers,1,1.0
2024-12-14,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,13281.73126,99.43,154,0.7727272727272727,0.2922077922077922,83.0,15312.220000000001,0.8673942289230431,2,The Gamblers,1,1.0
2024-12-15,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,5389.96219,58.25,137,0.49635036496350365,0.44525547445255476,80.0,7980.25,0.6754126988502867,2,The Gamblers,1,1.0
2024-12-16,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,13190.248859,65.44,230,0.6695652173913044,0.3695652173913043,83.0,15051.199999999999,0.8763586198442649,2,The Gamblers,1,1.0
2024-12-17,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,4454.939378,63.86,181,0.430939226519337,0.5414364640883977,87.0,11558.66,0.38542005543895225,2,The Gamblers,1,1.0
2024-12-18,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,3624.489655,93.71,191,0.418848167539267,0.5340314136125655,81.0,17898.61,0.20250118053860047,2,The Gamblers,1,1.0
2024-12-19,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,1525.329937,99.71000000000001,204,0.39215686274509803,0.7794117647058824,75.0,20340.84,0.07498854211527153,2,The Gamblers,1,1.0
2024-12-20,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,7812.716373,149.97,194,0.5721649484536082,0.32989690721649484,74.0,29094.18,0.2685319322627412,2,The Gamblers,1,1.0
2024-12-21,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,7465.899936,122.83,107,0.5046728971962616,0.24299065420560748,73.0,13142.81,0.5680596414313225,2,The Gamblers,1,1.0
2024-12-22,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,1174.025529,93.22,79,0.5189873417721519,0.569620253164557,73.0,7364.38,0.1594194662687151,2,The Gamblers,1,1.0
2024-12-23,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,122.889996,99.92,95,0.30526315789473685,0.9052631578947369,70.0,9492.4,0.012946145969407104,0,The Whales,1,1.0
2024-12-24,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,1555.956456,173.97,48,0.3125,0.1875,73.0,8350.56,0.1863295941829051,0,The Whales,1,1.0
2024-12-25,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,1530.919365,101.49,66,0.45454545454545453,0.18181818181818182,73.0,6698.339999999999,0.2285520539417229,2,The Gamblers,1,1.0
2024-12-26,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,101.860928,102.42,84,0.3333333333333333,0.8571428571428571,79.0,8603.28,0.011839778317106963,0,The Whales,1,1.0
2024-12-27,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,388.366016,99.93,73,0.3561643835616438,0.547945205479452,74.0,7294.89,0.05323809077313023,0,The Whales,1,1.0
2024-12-28,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,506.512551,133.27,63,0.36507936507936506,0.5555555555555556,72.0,8396.01,0.060327768904515355,0,The Whales,1,1.0
2024-12-29,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,115.51218300000001,105.015,34,0.5,0.20588235294117646,73.0,3570.51,0.032351732105497535,2,The Gamblers,1,1.0
2024-12-30,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,255.808312,140.01,125,0.336,0.872,65.0,17501.25,0.0146165737875866,0,The Whales,1,1.0
2024-12-31,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,496.221792,129.41,107,0.29906542056074764,0.5327102803738317,64.0,13846.869999999999,0.0358363869957615,0,The Whales,1,1.0
2025-01-01,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,109.82694000000001,99.95,59,0.3559322033898305,0.7457627118644068,66.0,5897.05,0.018624047617028853,0,The Whales,1,1.0
2025-01-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,416.546688,99.8,101,0.45544554455445546,0.24752475247524752,70.0,10079.8,0.04132489612889145,2,The Gamblers,1,1.0
